president,year,party,china_sentiment,china_mention_count
Rutherford B. Hayes,1878,Republican,-0.07820248603820801,1
Rutherford B. Hayes,1879,Republican,0.18459957838058472,3
Rutherford B. Hayes,1880,Republican,0.30374739691615105,4
Theodore Roosevelt,1901,Republican,0.27413170092872213,20
Theodore Roosevelt,1902,Republican,0.07129135976235072,3
Theodore Roosevelt,1903,Republican,0.3466981239616871,6
Theodore Roosevelt,1904,Republican,-0.016239484772086143,6
Theodore Roosevelt,1905,Republican,-0.2118653241544962,32
Theodore Roosevelt,1907,Republican,0.20695412096877894,9
Theodore Roosevelt,1908,Republican,-0.3277535580098629,16
Ulysses S. Grant,1869,Republican,0.14468974247574806,4
Ulysses S. Grant,1870,Republican,-0.2994004798432191,6
Ulysses S. Grant,1871,Republican,0.22335539758205414,4
Ulysses S. Grant,1872,Republican,0.014016753062605858,4
Ulysses S. Grant,1873,Republican,0.3622988983988762,2
Ulysses S. Grant,1874,Republican,-0.14591968357563018,5
Ulysses S. Grant,1875,Republican,-0.441260427236557,1
William Howard Taft,1909,Republican,0.15681396536529063,12
William Howard Taft,1910,Republican,0.14742754551116377,22
William Howard Taft,1911,Republican,0.3129834968310136,20
William Howard Taft,1912,Republican,0.08812559247016907,17
William J. Clinton,1994,Democratic,0.5186448097229004,1
William J. Clinton,1997,Democratic,0.12735157273709774,7
William J. Clinton,1998,Democratic,0.1941610723733902,1
William J. Clinton,1999,Democratic,0.27713354863226414,5
William J. Clinton,2000,Democratic,0.2571202175957816,9
William McKinley,1898,Republican,-0.11035598888993263,8
William McKinley,1899,Republican,0.055004140734672545,6
William McKinley,1900,Republican,-0.02342258285927145,47
