president,year,party,sentence,sentiment
Joe Biden,2021,,"It’s going to boost America’s innovative edge in markets where global leadership is up for grabs — markets like battery technology, biotechnology, computer chips, clean energy, the competition with China in particular.",0.8001731
Joe Biden,2021,,"I had a long discussion with Xi Jinping, the leader of China, when he called to congratulate me.",0.8166117
Joe Biden,2021,,"And he said — and was astonished by NASA’s security team and the China experts who were on the line — he said, “You’ve always said, Mr. President, that you can define America in one word: possibilities.”",0.0735209
Joe Biden,2021,,They know China and other countries are eating our lunch.,-0.6167307
Joe Biden,2021,,That’s what competition between America and China and the rest of the world is all about.,-0.30936772
Donald Trump,2021,,"Also, and very importantly, we imposed historic and monumental tariffs on China; made a great new deal with China.",0.6488699
Donald Trump,2021,,"But before the ink was even dry, we and the whole world got hit with the China virus.",-0.82297385
Donald Trump,2021,,We revitalized our alliances and rallied the nations of the world to stand up to China like never before.,0.72626126
Donald Trump,2021,,"From a great hall of Muslim leaders in Riyadh to a great square of Polish people in Warsaw; from the floor of the Korean Assembly to the podium at the United Nations General Assembly; and from the Forbidden City in Beijing to the shadow of Mount Rushmore, I fought for you, I fought for your family, I fought for our country.",0.05577685
Donald Trump,2020,,We had tremendous growth until we got hit with the China virus.,-0.13787319
Donald Trump,2020,,"He’ll have to talk to China, Russia, India, and lots of other countries, because they’re not doing that.",-0.49573752
Donald Trump,2020,,Biden’s plan for the China virus is to shut down the entire U.S. economy.,-0.6048543
Donald Trump,2020,,"Biden wants to surrender our country to the virus, he wants to surrender our families to the violent left-wing mob, and he wants to surrender our jobs to China—our jobs and our economic wellbeing.",-0.89399624
Donald Trump,2020,,I’ve taken in billions and billions of dollars from China.,-0.14899734
Donald Trump,2020,,We haven’t taken in 10 cents from China ever.,-0.54426765
Donald Trump,2020,,China is purchasing more corn than they’ve ever done.,-0.21070352
Donald Trump,2020,,"And, frankly, I don’t want to set the world necessarily to thinking too much about it right now, but there’s been no country anywhere, at any time, that’s ripped us off like China has.",-0.6166483
Donald Trump,2020,,We’ve lost billions and billions and billions of dollars by dealing with China.,-0.8275674
Donald Trump,2020,,We get nothing from China.,-0.6028628
Donald Trump,2020,,"And it’s very lucky that I’ve been building our up, because otherwise we’d be dwarfed right now by China.",0.757431
Donald Trump,2020,,But China is spending the money we give them to build up their military.,-0.43542606
Donald Trump,2020,,"If Joe Biden becomes President, China will own the United States, and every other country will be smiling also.",0.17306101
Donald Trump,2020,,"He spent 47 years sending American jobs to China, to Mexico, and to other countries, while collecting millions of dollars in campaign and super PAC contributions from global corporations that got rich by making American workers poor.",-0.63694596
Donald Trump,2020,,"He walked away with a fortune from Ukraine, from China, and from other countries.",-0.12882638
Donald Trump,2020,,He supported China’s entry into the World Trade Organization.,0.036620326
Donald Trump,2020,,"China was spending $38 million, and China controlled it.",-0.3376325
Donald Trump,2020,,China is treated as a developing nation.,-0.0068116263
Donald Trump,2020,,China doesn’t kick in until 2030; they don’t have to do anything until 2030.,-0.16224635
Donald Trump,2020,,"The New York Times has just published an entire story on Biden’s China sell-outs, which is amazing for the New York Times.",0.8926615
Donald Trump,2020,,"In 2001, Biden said, “The United States welcomes the emergence of a prosperous, integrated China on the global stage because we expect this is going to be a China that plays by the rules.”",0.68773293
Donald Trump,2020,,"The World Trade Organization, one of the reasons it’s so bad is that China didn’t play by the rules.",-0.91849893
Donald Trump,2020,,I feel I made a great trade deal with China.,0.9603132
Donald Trump,2020,,And they’re buying.,-0.19706872
Donald Trump,2020,,You know why they’re buying?,-0.20248064
Donald Trump,2020,,Because they know I’m not happy.,-0.70460004
Donald Trump,2020,,That’s why they’re buying.,-0.12984356
Donald Trump,2020,,But nobody is even close to China.,-0.3626786
Donald Trump,2020,,"Biden cheered China’s rise as a great power “because great powers adhere to international norms in the areas of nonproliferation, human rights, and trade.”",0.6028212
Donald Trump,2020,,And he’s talking about how wonderful it is with China.,0.8649725
Donald Trump,2020,,"No, China has been very bad, on top of which we had the China plague sent to us and other viruses—nothing near this serious—but the swine, and we had other viruses sent in over the years that came from China.",-0.8746924
Donald Trump,2020,,"If Biden wins, China wins, because China will own this country.",-0.2228466
Donald Trump,2020,,"If Biden wins, China will own this country, and hopefully you’re not going to be able to find that out.",-0.6025456
Donald Trump,2020,,"Under my administration, we will make America into the manufacturing superpower of the world, and we’ll end our reliance on China once and for all.",0.6087219
Donald Trump,2020,,"Whether it’s decoupling or putting in massive tariffs like I’ve been doing already, we’re going to end our reliance on China because we can’t rely on China.",-0.529207
Donald Trump,2020,,We’ll create “Made in America” tax credits and bring our jobs back from China to the United States.,0.3672562
Donald Trump,2020,,And we’ll impose tariffs on companies that desert America to create jobs in China and other countries.,-0.47189265
Donald Trump,2020,,We’ll prohibit federal contracts from companies that outsource to China.,-0.529207
Donald Trump,2020,,And we’ll hold China accountable for allowing the virus to spread around the world.,-0.80691046
Donald Trump,2020,,Now you can understand why China would much rather see Sleepy Joe than Donald Trump.,-0.57258743
Donald Trump,2020,,"And we’re having tremendous success, whether it’s on the vaccines, whether it’s on the pandemic—the plague that came in from China, that China should have never let happen because I will never feel the same about China.",0.12895648
Donald Trump,2020,,My administration has been working around the clock in good faith to reach an agreement with Democrats on additional China virus relief.,0.5672002
Donald Trump,2020,,It has nothing to do with the China virus.,-0.41024867
Donald Trump,2020,,What a horrible thing China released upon the world.,-0.97162366
Donald Trump,2020,,"This will mean bigger paychecks for working families, as we race to produce a vaccine and eradicate the China virus once and for all.",0.67682016
Donald Trump,2020,,"So, they would get evicted—it’s not their fault that this virus came into our country; it’s China’s fault.",-0.8241217
Donald Trump,2020,,The third action I’m taking today will also provide additional support for Americans who are unemployed due to the China virus.,-0.038343698
Donald Trump,2020,,"Again, it wasn’t their fault; it was China’s fault.",-0.650893
Donald Trump,2020,,But there and then we got hit by the virus that came from China.,-0.7960243
Donald Trump,2020,,"And now, just like everything else, we have become the manufacturer on record for ventilators, we have the most and finest testing anywhere in the world, and are producing gowns and masks and surgical equipment in our country where heretofore it was almost exclusively made in foreign lands, in particular, China, where, ironically, this virus and others came from.",0.11577807
Donald Trump,2020,,"China’s secrecy, deceptions, and cover-up allowed it to spread all over the world — 189 countries — and China must be held fully accountable.",-0.74477565
Donald Trump,2020,,"I want to take this opportunity to thank all members of America’s Armed Forces in every branch — active duty, National Guard, and reserve — who stepped forward to help battle the invisible enemy — the new virus that came to our shores from a distant land called China.",0.57108957
Donald Trump,2020,,"My fellow Americans: Tonight, I want to speak with you about our nation’s unprecedented response to the coronavirus outbreak that started in China and is now spreading throughout the world.",-0.18455431
Donald Trump,2020,,"At the very start of the outbreak, we instituted sweeping travel restrictions on China and put in place the first federally mandated quarantine in over 50 years.",-0.20346174
Donald Trump,2020,,The European Union failed to take the same precautions and restrict travel from China and other hotspots.,-0.7061561
Donald Trump,2020,,"At the same time, we are monitoring the situation in China and in South Korea.",0.037041087
Donald Trump,2020,,We made a life-saving move with early action on China.,0.7105942
Donald Trump,2020,,I also promised our citizens that I would impose tariffs to confront China’s massive theft of America’s jobs.,-0.5754617
Donald Trump,2020,,"Days ago, we signed the groundbreaking new agreement with China that will defend our workers, protect our intellectual property, bring billions and billions of dollars into our treasury, and open vast new markets for products made and grown right here in the USA.",0.90158665
Donald Trump,2020,,"For decades, China has taken advantage of the United States.",-0.58395016
Donald Trump,2020,,"Now we have changed that, but, at the same time, we have perhaps the best relationship we’ve ever had with China, including with President Xi.",0.945178
Donald Trump,2020,,We are coordinating with the Chinese government and working closely together on the coronavirus outbreak in China.,0.26744947
Donald Trump,2020,,"The time has come for the United Kingdom, Germany, France, Russia, and China to recognize this reality.",0.004410967
Donald Trump,2020,,They must now break away from the remnants of the Iran deal -– or JCPOA –- and we must all work together toward making a deal with Iran that makes the world a safer and more peaceful place.,0.34547034
Donald Trump,2019,,But also insist on transparency from Joe Biden and his son Hunter on the millions of dollars that have been quickly and easily taken out of Ukraine and China.,-0.030616224
Donald Trump,2019,,"Had my opponent won, we would be second right now because China was catching us so rapidly, we would’ve been second by this time.",-0.21980225
Donald Trump,2019,,"And unless somebody does a very poor job as President, we’re going to be first for a long way, because we’ve picked up trillions and trillions of dollars in value and worth of our country, and China has lost trillions and trillions of dollars, and millions of jobs, and their supply chain.",-0.7575623
Donald Trump,2019,,"Markets reacted positively after you spoke about China, and that it would happen sooner than — rather than unexpectedly.",0.78485084
Donald Trump,2019,,"Yet, you have the Foreign Minister of China saying that they have no intention of, you know, unseating the United States.",-0.5394967
Donald Trump,2019,,"And companies are moving out of China, and they’re moving to lots of other places, including the United States.",-0.049244322
Donald Trump,2019,,"Now, by the way, China is starting to buy our agricultural product again.",-0.2853279
Donald Trump,2019,,"That was the creation of China, which went like a rocket ship from the day they signed.",-0.06320175
Donald Trump,2019,,The most important difference in America’s new approach on trade concerns our relationship with China.,0.14616355
Donald Trump,2019,,"In 2001, China was admitted to the World Trade Organization.",0.13123436
Donald Trump,2019,,"Our leaders then argued that this decision would compel China to liberalize its economy and strengthen protections to provide things that were unacceptable to us, and for private property and for the rule of law.",-0.1784965
Donald Trump,2019,,"Not only has China declined to adopt promised reforms, it has embraced an economic model dependent on massive market barriers, heavy state subsidies, currency manipulation, product dumping, forced technology transfers, and the theft of intellectual property and also trade secrets on a grand scale.",-0.9218282
Donald Trump,2019,,"To advance the Chinese government’s five-year economic plan, a company owned by the Chinese state allegedly stole Micron’s designs, valued at up to $8.7 billion.",-0.419291
Donald Trump,2019,,"Soon, the Chinese company obtains patents for nearly an identical product, and Micron was banned from selling its own goods in China.",-0.34960037
Donald Trump,2019,,"The United States lost 60,000 factories after China entered the WTO.",-0.5571502
Donald Trump,2019,,"To confront these unfair practices, I placed massive tariffs on more than $500 billion worth of Chinese-made goods.",-0.78869253
Donald Trump,2019,,The American people are absolutely committed to restoring balance to our relationship with China.,0.4807359
Donald Trump,2019,,"As we endeavor to stabilize our relationship, we’re also carefully monitoring the situation in Hong Kong.",0.13911338
Donald Trump,2019,,"The world fully expects that the Chinese government will honor its binding treaty, made with the British and registered with the United Nations, in which China commits to protect Hong Kong’s freedom, legal system, and democratic ways of life.",0.45375285
Donald Trump,2019,,How China chooses to handle the situation will say a great deal about its role in the world in the future.,0.11979077
Donald Trump,2019,,"Before we begin, I’d like to just say that we have a large team of very talented people in China.",0.94778955
Donald Trump,2019,,"But we’re very much working very closely with China and President Xi, who I respect a lot.",0.9301225
Donald Trump,2019,,"We’ve been losing, on average, $375 billion a year with China.",-0.78357965
Donald Trump,2019,,The tariffs are hurting China very badly.,-0.9261605
Donald Trump,2019,,We’ve never had that before with China.,-0.31261724
Donald Trump,2019,,"And the relationship with China is very good, but I think they finally respect our country.",0.91442394
Donald Trump,2019,,"China has been helping us, and Russia has been helping us.",0.7011704
Donald Trump,2019,,"But China, Russia, on the border, have really been at least partially living up to what they’re supposed to be doing.",0.4270682
Donald Trump,2019,,Their location between South Korea and then Russia and China — right smack in the middle — is phenomenal.,0.77667767
Donald Trump,2019,,"And one of the things that I did with President Xi in China, when I met him in Argentina at a summit — before I even started talking about the trade — it was a trade meeting.",0.12836224
Donald Trump,2019,,"It’s going to be great for our country and great for China, I hope.",0.97287476
Donald Trump,2019,,And China has lost trillions of dollars.,-0.7741806
Donald Trump,2019,,But I want it to be good for China and I want it to be good for the United States.,0.46997207
Donald Trump,2019,,"China is coming here next week, by the way.",0.04635582
Donald Trump,2019,,And then China is coming here next week.,-0.11894826
Donald Trump,2019,,I wanted to ask about China.,-0.1173861
Donald Trump,2019,,"I mean, we’re taking in billions and billions of dollars in tariffs from China.",-0.3546182
Donald Trump,2019,,"And our steel industry now, as an example, we tax dumped steel — much of it comes from China — at 25 percent.",-0.5148053
Donald Trump,2019,,"And right now, China is paying us billions of dollars a year in tariffs.",-0.78305286
Donald Trump,2019,,"No other — you know, we didn’t have a deal with China.",-0.24092473
Donald Trump,2019,,"Now, they might now want to approve a deal just because they’ll say — one of the things I’m thinking of doing — this has never been done before: No matter how good a deal I make with China, if they sell me Beijing for one dollar, if they give me 50 percent of their land and every ship that they’ve built over the last two years — which is a lot — and they give them to me free, the Democrats will say, “What a lousy deal; that’s a terrible deal.”",-0.6278957
Donald Trump,2019,,"Because any deal I make with China, if it’s the great — it’s going to be better than any deal that anybody ever dreamt possible, or I’m not going to have a deal.",0.7695811
Donald Trump,2019,,"But any deal I make with China, Schumer is going to stand up and say, “Oh, it should’ve been better.",-0.28156254
Donald Trump,2019,,I just want to bring you back to China for a second.,0.23482992
Donald Trump,2019,,"Trade with China, how big does that get?",-0.08778216
Donald Trump,2019,,"We are now making it clear to China that after years of targeting our industries and stealing our intellectual property, the theft of American jobs and wealth has come to an end.",-0.8565593
Donald Trump,2019,,"Therefore, we recently imposed tariffs on $250 billion of Chinese goods—and now our Treasury is receiving billions of dollars a month from a country that never gave us a dime.",-0.7579196
Donald Trump,2019,,But I don’t blame China for taking advantage of us—I blame our leaders and representatives for allowing this travesty to happen.,-0.8453107
Donald Trump,2019,,"I have great respect for President Xi, and we are now working on a new trade deal with China.",0.9235159
Donald Trump,2019,,"Perhaps we can negotiate a different agreement, adding China and others, or perhaps we can’t–-in which case, we will outspend and out-innovate all others by far.",-0.28154075
Donald Trump,2018,,"A special thanks to President Moon of South Korea, Prime Minister Abe of Japan, and President Xi of China.",0.90477645
Donald Trump,2018,,"The United States lost over 3 million manufacturing jobs, nearly a quarter of all steel jobs, and 60,000 factories after China joined the WTO.",-0.4774857
Donald Trump,2018,,"The United States has just announced tariffs on another $200 billion in Chinese-made goods for a total, so far, of $250 billion.",-0.39927298
Donald Trump,2018,,China’s market distortions and the way they deal cannot be tolerated.,-0.8542587
Donald Trump,2018,,We rebuilt China.,0.21452059
Donald Trump,2018,,"China charges us, when we make a car, a 25 percent tariff.",-0.400291
Donald Trump,2018,,And I told China: Don’t send it.,-0.53797287
Donald Trump,2018,,We’re also shutting down illegal online marketplaces and preventing drugs that come from China and other countries from bypassing our borders.,-0.35763866
Donald Trump,2018,,"Around the world, we face rogue regimes, terrorist groups, and rivals like China and Russia that challenge our interests, our economy, and our values.",-0.824537
Donald Trump,2018,,"Later, he was tortured by North Korean authorities after returning from a brief visit to China.",-0.73813957
Donald Trump,2018,,Seong-ho traveled thousands of miles on crutches across China and Southeast Asia to freedom.,0.019070432
Donald Trump,2017,,"We also face rival powers, Russia and China, that seek to challenge American influence, values, and wealth.",-0.45302418
Donald Trump,2017,,"We must reject threats to sovereignty, from the Ukraine to the South China Sea.",-0.5486937
Donald Trump,2017,,"The United Nations Security Council recently held two unanimous 15-0 votes adopting hard-hitting resolutions against North Korea, and I want to thank China and Russia for joining the vote to impose sanctions, along with all of the other members of the Security Council.",0.56199247
Donald Trump,2017,,"We've lost more than one-fourth of our manufacturing jobs since NAFTA was approved, and we've lost 60,000 factories since China joined the World Trade Organization in 2001.",-0.8480817
Barack Obama,2016,,"Surveys show our standing around the world is higher than when I was elected to this office, and when it comes to every important international issue, people of the world do not look to Beijing or Moscow to lead -- they call us.",0.40962374
Barack Obama,2016,,Economic headwinds are blowing in from a Chinese economy that is in significant transition.,-0.35906374
Barack Obama,2016,,"With TPP, China does not set the rules in that region; we do.",-0.22041571
Barack Obama,2015,,"But as we speak, China wants to write the rules for the world’s fastest-growing region.",0.0026470274
Barack Obama,2015,,More than half of manufacturing executives have said they’re actively looking to bring jobs back from China.,0.21733172
Barack Obama,2015,,"In Beijing, we made a historic announcement:  The United States will double the pace at which we cut carbon pollution.",0.83830523
Barack Obama,2015,,"And China committed, for the first time, to limiting their emissions.",0.1764224
Barack Obama,2014,,"And for the first time in over a decade, business leaders around the world have declared that China is no longer the world’s number one place to invest; America is.",-0.3223094
Barack Obama,2014,,China and Europe aren’t standing on the sidelines.,-0.1641137
Barack Obama,2013,,"I’ve spoken to the leaders of two of our closest allies, France and the United Kingdom, and we will work together in consultation with Russia and China to put forward a resolution at the U.N. Security Council requiring Assad to give up his chemical weapons, and to ultimately destroy them under international control.",-0.09335704
Barack Obama,2013,,"As long as countries like China keep going all in on clean energy, so must we.",0.6256782
Barack Obama,2013,,"We’re giving them all the skills they need to figure that out, but then we’re going to turn around and tell them to start that business and create those jobs in China or India or Mexico or someplace else?",-0.14238912
Barack Obama,2013,,The Chinese.,-0.29764158
Barack Obama,2012,,"I don’t believe that firing teachers or kicking students off financial aid will grow the economy, or help us compete with the scientists and engineers coming out of China.",-0.62193686
Barack Obama,2012,,We’ve reasserted our power across the Pacific and stood up to China on behalf of our workers.,0.72530645
Barack Obama,2012,,You might not be ready for diplomacy with Beijing if you can’t visit the Olympics without insulting our closest ally.,-0.7399429
Barack Obama,2012,,"But right now, it’s getting more expensive to do business in places like China.",-0.7242171
Barack Obama,2012,,We’ve brought trade cases against China at nearly twice the rate as the last administration –- and it’s made a difference.,0.36531538
Barack Obama,2012,,Over a thousand Americans are working today because we stopped a surge in Chinese tires.,0.30447906
Barack Obama,2012,,"Tonight, I’m announcing the creation of a Trade Enforcement Unit that will be charged with investigating unfair trading practices in countries like China.",-0.14756021
Barack Obama,2012,,I will not cede the wind or solar or battery industry to China or Germany because we refuse to make the same commitment here.,-0.60848343
Barack Obama,2011,,And now we’re going to sit back and watch China build newer airports and faster railroads?,-0.30342856
Barack Obama,2011,,"And we’re going to make sure the next generation of manufacturing takes root not in China or Europe, but right here, in the United States of America.",0.41755927
Barack Obama,2011,,"Countries like China, India, and Brazil are growing by leaps and bounds.",0.8894996
Barack Obama,2011,,"That’s why countries like China, India and Brazil are growing so rapidly -- because in fits and starts, they are moving toward market-based principles that the United States and the United Kingdom have always embraced.",0.880593
Barack Obama,2011,,"Meanwhile, nations like China and India realized that with some changes of their own, they could compete in this new world.",0.6291422
Barack Obama,2011,,"Just recently, China became the home to the world’s largest private solar research facility, and the world’s fastest computer.",0.86485
Barack Obama,2011,,China is building faster trains and newer airports.,0.41826996
Barack Obama,2011,,"Recently, we signed agreements with India and China that will support more than 250,000 jobs here in the United States.",0.78840965
Barack Obama,2010,,"And we should be able to agree now that it makes no sense for China to have better rail systems than us, and Singapore having better airports than us.",-0.21848123
Barack Obama,2010,,And we just learned that China now has the fastest supercomputer on Earth -- that used to be us.,0.71306294
Barack Obama,2010,,Countries like China are investing in clean energy jobs and industries that should be right here in America.,0.5249389
Barack Obama,2010,,"But what's clear is, is that they have not said yes to an agreement that Russia, China, Germany, France, Great Britain and the United States all said was a good deal, and that the director of the IAEA said was the right thing to do and that Iran should accept.",-0.2610151
Barack Obama,2010,,Q    China will be there?,-0.052191928
Barack Obama,2010,,How China operates at the Security Council as we pursue sanctions is something that we're going to have to see.,-0.062242087
Barack Obama,2010,,There's no reason Europe or China should have the fastest trains or the new factories that manufacture clean energy products.,-0.4969562
Barack Obama,2010,,"Meanwhile, China's not waiting to revamp its economy.",-0.4119824
Barack Obama,2009,,"In light of the Cultural Revolution's horrors, Nixon's meeting with Mao appeared inexcusable -- and yet it surely helped set China on a path where millions of its citizens have been lifted from poverty and connected to open societies.",-0.28706157
