President,Year,Party,Role,Intelligence Leader,Publication Title,Sentence,Sentiment
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"As East Asian economies--particularly China--grow, Europe will find its economic interests shifting toward that area.",0.087590754
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"We can expect periodic Russian-Chinese diplomatic activity, fueled by military sales and mutually compatible objectives: Russian desires to demonstrate it has ties with other key actors, and China's desire to hedge against ""soft containment.""",0.087458745
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"East Asia By dint of its size, regional sweep, economic growth, territorial claims, and insistence on being taken seriously as a major foreign policy player, China will preoccupy US policymakers through and beyond.",-0.12804249
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"While China has the potential to become the region's dominant military power, it is beset by significant internal problems that in our judgment will preclude it from becoming so during this time frame.",-0.5168296
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"Indeed, many of the global trends we highlighted--population (and strains associated with urbanization), energy demands, and food-- are domestic issues for China.",-0.2205866
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,The Chinese central government will continue to have difficulties collecting revenues to fund its programs.,-0.7263485
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"With percent of its population still in agriculture, China has a long way to go to develop a modern economy on a nationwide basis.",-0.3600698
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"Taiwan will continue to be a potential flashpoint for China, although each side believes that time favors its own position.",0.09997665
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"We believe that, while the risk of war is low, the China-Taiwan issue is unlikely to be resolved during this time frame.",-0.49237263
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"Sustained economic growth in the region will continue, pulling all countries up a technology ladder, spreading to the poor countries of Southeast Asia, the interior of China, and eventually to North Korea, Mongolia, and the Russian Far East.",0.64554083
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"US disengagement would increase the likelihood of tensions or potential conflict drawing in China, Japan, Korea, or Vietnam, with intense competition between China and Japan the salient feature.",-0.44595852
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"These forces will be geared toward protecting maritime economic zones, including a variety of overlapping claims to the Spratly Islands that are contested by China.",-0.019674677
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"Russia, China, and others will continue to export technology; Western Europe will look the other way in order to stake out its claim to business.",-0.12966354
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"Part of that stems from frustration at seeing high-level international attention focused on its rival China, while India registers only in the context of blocking nuclear disarmament initiatives, grappling with Kashmir, or contending with Pakistan.",-0.64036614
Bill Clinton,1997,Democratic,Director of Central Intelligence (DCI),George Tenet,Global Trends 2010,"Because the cost to India of building strong, modern conventional capabilities is prohibitive--due to its desire to stake out a claim commensurate with its size--and because of the nuclear arsenal of China and the nuclear potential of Pakistan, New Delhi will continue its commitment to its nuclear program.",-0.061456293
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Environmental Outlook in Russia,Russia continues to produce about half the world's chlorofluorocarbons (CFCs)-- linked to depletion of the ozone layer--and ranks third behind the United States and China in carbon dioxide emissions.,-0.5368592
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,Russia today meets the classical definition of a federation by its inscription of that principle in the Constitution (as opposed to a decentralized system such as China where the center can unilaterally and legally take back powers it had once given away).,0.017201222
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"The first speaker will present a structural examination of federalism as it has evolved globally; subsequent speakers will address center-region relations in Germany, China, Nigeria, and Brazil.",0.04984902
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"Joseph Fewsmith, Boston University: Federalism in China China does not have a federalist system of government--it has no constitutional division of power.",-0.24436185
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"In , China started to deliberately decentralize to promote economic development and political unity.",0.30896306
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"China s economic decentralization appealed to several favorable characteristics that differentiate China from the Russian situation: China s economy had been decentralized to varying degrees since , China s centralized economic plan covered only about products (vice about , Soviet products), and China had a large rural sector with an underutilized labor force.",0.4507861
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,Decentralization has been a major factor in China s economic growth over the last decade.,0.5638229
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"Some believe that this has created a de facto federalism that, once formalized, will lead to future Chinese democratization.",0.13506584
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,The Communist Party has provided a unifying force to date that has kept center-regional relations under control.,0.5606829
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"At the same time, the Chinese leadership is aware of the pressures and potentials and is taking steps to try and restore greater control over the regions, although it is difficult to renege on powers once delegated.",0.19889058
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,Some have suggested that China will eventually formally institutionalize a federal system.,-0.007920831
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"This seems unlikely, given China s long history of political power.",-0.2993262
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"At the same time, a better and more institutionalized relationship between the center and the provinces could lead to a de facto federalist system that might help China resolve problems with Tibet, and perhaps even Taiwan.",0.5323943
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"Most recently, the computer revolution, with information readily available, has been a countervailing factor to recentralization (for example, China and India).",0.48764074
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"There are several strong factors working directly against the possibility of disintegration: the financial crisis of August demonstrated to the regions that they cannot stand alone; there are no strong political forces for disintegration in the majority of the regions, the Communist Party is serving as a de facto unifying force; and there are no groups of governors ready to work for the disintegration of the country.",-0.54520273
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"In the Siberian regions, people are more afraid of the growing Chinese influence in the region than of disintegration of the country.",-0.8243644
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"George Kolt , National Intelligence Council (Chair) Blair Ruble , Kennan Institute for Advanced Russian Studies, Commentator Issues of Federalism Douglas Verney , University of Pennsylvania Germany Carl Lankowski , American Institute for Contemporary German Studies China Joseph Fewsmith , Boston University Nigeria John Paden , George Mason University Brazil David Samuels , University of Minnesota : p.m.",-0.033951744
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,He is the author of Dilemmas of Reform in China: Political Conflict and Economic Debate and Party and Local Elites in Republican China.,-0.065429196
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"Dr. Fewsmith has written numerous articles on the politics and economics of contemporary China and is the editor of The Chinese Economy, a journal of translations published by M. E. Sharpe.",0.07525082
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"He has worked on Soviet, Chinese, and Russian affairs for the US Government.",-0.0565067
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"The food situation in the regions along the Trans-Siberian Railroad was just a little bit better due to food supplies from China, which were often of very bad quality.",-0.16215692
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,Alcoholism and drug addiction in the Russian Far East took especially dangerous forms due to Chinese supplies.,-0.9096801
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"In particular, China became a source of cheap drug-related medicines (ethedrin), which are processed into strong drugs in numerous underground laboratories on the Russian side of the border.",-0.29533568
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,China also supplied very cheap fake vodka in plastic packages.,-0.8553483
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"Simultaneously, the Far East witnesses the fast economic development of neighboring China and watches the increase of Chinese ethnic population in the Russian Far East and the penetration of Chinese capital.",0.066970184
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"On the other hand, active penetration of Chinese shuttle traders in Yakutia and the emerging ""Chinese settlement"" in Yakutsk became a serious complicating factor in this region in - .",-0.4964283
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"These districts have large timber resources; however, the ""usual"" problems of the Russian Far Northeast and forest fires in May-October made survival of these districts very problematic; The Khabarovsk governor Ishayev will eagerly accept any assistance from the US-Japanese side (but not from China).",-0.29006004
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"At the same time, the penetration or, more exactly, large-scale expansion of the Chinese into this region is an extremely serious factor.",-0.32055014
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"On other hand, Chinese penetration was significant, at least in the Irkutsk region, in - .",-0.038023695
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"More exactly, he claimed in March that Moscow is selling Primor ye to China in the guise of border-settling agreements and that Moscow policy caused destruction of the local economy and infrastructure.",-0.79720193
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,Maritime governor Nazdratenko produced a new series of anti-Chinese and anti-Moscow statements.,-0.458092
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"Only of regions border on a country that was not once part of the Soviet Union (Murmansk and Leningrad Oblasts and Karelia border on Finland or Norway; Kaliningrad Oblast borders on Poland; the Altay Republic, Tuva, Buryatia, Chita and Amur Oblasts, the Jewish Autonomous Oblast, and Khabarovsk and Primorskiy Krays border on China, Mongolia, or North Korea).",-0.122956224
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"Moreover, the one party with a dense countrywide network and a mass following, the Communist Party, supports a strong central state.",0.41234097
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"In addition, most of Russia s neighbors are focused on their own domestic agendas rather than external expansion (for example, Iran and China) or on rivalries with states other than Russia (for instance, Pakistan and India).",-0.23076272
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"For its part, China is seeking to build partner-like relations with Russia, both because of the technology transfers it hopes to receive and because it believes it can use Russia to help counter US ambitions in East Asia.",0.3002943
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"For example: Should the residents of Vladivostok start placing more phone calls to Beijing than to Moscow or vacationing more often in Japan than in Russia, that would be a new pattern suggesting that Russia s integrity was under stress.",-0.37863195
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,The widespread circulation of Chinese yuan as a parallel currency in Russia s Far East would suggest closer ties to China and would pose a threat to Moscow s role.,-0.31622747
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"How would China, the United States, and Japan react to the depopulation of Russian territory east of Lake Baikal?",-0.1394899
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Federalism in Russia: How Is It Working?,"There would be considerable opportunity costs because Russia would be lost as a power that could help manage the rise of China in East Asia, stabilize Central Asia, and consolidate Europe and manage its emergence as a world power.",-0.27205932
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Agenda : am - : am Check in and registration : am - : am Opening remarks Stephen P. Gibert, Director, NSS John Gannon, Chairman, National Intelligence Council Robert Gallucci, Dean, SFS : am - : am Panel : Asia China:",-0.009468792
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Michael Pillsbury (National Defense University) India: Timothy D. Hoyt (Georgetown University) Korea: Victor Cha (Georgetown University) Taiwan: John Copper (Rhodes College) : am - : am Break : am - : pm Panel : Europe Britain: Robbin Laird (ICSA) and Timothy D. Kilvert-Jones (UNITECH) Germany: Holger Mey (Institute for Strategic Analysis, Bonn) France: Yves Boyer (Fondation pour la Recherche Strategique) Russia: Stephen Blank (Army War College) : pm - : pm Keynote Speaker Luncheon Andrew Marshall (US Department of Defense, Office of Net Assessment) Location: Copley Formal Lounge : pm - : pm Panel : Second- and Third-Tier States Australia: Michael Evans (Land Warfare Studies Centre, Duntroon Australia)",-0.023486268
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Participants believe that of the countries considered for discussion China, Russia, India, and Australia have the greatest potential to achieve an RMA, should they decide to pursue the option.",0.8515785
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"In addition to the United States, panel members identified China, Russia, India, and Australia as having the potential to achieve an RMA.",0.38298675
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,The expert on military affairs in China argued that the RMA school in China is a small but vocal group within the Chinese strategic community.,0.050525714
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Although some analysts believe that China will be the first to seize the full potential of RMA capabilities, others note numerous challenges that will obstruct China s pursuit.",-0.19158256
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,Advocates of an RMA-based modernization strategy in the Chinese armed forces are heavily outnumbered by those defending Mao s concept of a People s war and by those proposing preparations for a local war.,-0.54818654
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Current doctrine is built around the concept of a People s war, and advocates of this strategy have considerable influence within China s political leadership, which is willing to overlook the potential drawbacks of fighting the last war in order to preserve the country s ideological legacy.",-0.053512834
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Although China could incorporate selected elements of a high-technology military, the doctrinal changes and force reorganization necessary to achieve a genuine RMA would place significant stresses on the Communist system.",-0.27878356
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,Some participants also noted that most Chinese depictions of a future RMA adversary resemble the forces of the United States and its allies.,-0.11040526
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Chinese RMA advocates, however, believe their country, not the United States, will be the first to exploit the RMA in two or three decades.",-0.349987
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"These advocates, both civilian and military believe this situation will provide an opportunity for China, and other countries that follow suit, to confront the United States.",0.37405536
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,A follow-on discussion raised the possibility that China might develop an asymmetric strategy for fighting the West.,-0.015686706
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,Its military and strategic thinkers have paid considerable attention to the writings of experts in the United States and China on the RMA.,0.18770042
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"The expert noted that India s strategic community must balance several competing security interests including concern over national unity and insurgencies, threats from Pakistan and China, and India s aspirations for a global leadership role.",-0.01909116
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"Defense modernization in South Korea and Taiwan has been evolutionary rather than revolutionary, largely because of unremitting security threats and a dependence on the US security umbrella.",-0.5357851
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,1999: Buck Rogers or Rock Throwers?,"In addition, neither Taiwan nor South Korea would want to lose the US security umbrella in view of ongoing security threats.",-0.3508797
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,National Intelligence Council China and Weapons of Mass Destruction: Implications for the United States Conference Report November,-0.33654714
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Introduction | Schedule | Papers Appendix I | Appendix II | Appendix III | Appendix IV Introduction This conference document includes papers produced by distinguished experts on China's weapons-of-mass-destruction (WMD) programs.,-0.045449182
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The main topics of discussion included: The development of China's nuclear forces.,0.06655297
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China's development of chemical and biological weapons.,-0.46351334
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China's involvement in the proliferation of WMD.,-0.41526425
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China's development of missile delivery systems.,-0.035552714
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Interest in China's WMD stems in part from its international agreements and obligations.,0.24155618
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"China is a party to the International Atomic Energy Agency (IAEA), the Treaty on the Non-Proliferation of Nuclear Weapons (NPT), the Zangger Committee, and the Chemical Weapons Convention (CWC) and has signed but not ratified the Comprehensive Nuclear Test Ban Treaty (CTBT).",-0.29045004
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"China is not a member of the Australia Group, the Wassenaar Arrangement, the Nuclear Suppliers Group, or the Missile Technology Control Regime (MTCR), although it has agreed to abide by the latter (which is not an international agreement and lacks legal authority).",-0.40986633
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The papers below reflect important trends in thinking outside the Intelligence Community on the issue of China and WMD.,0.2405384
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The Chinese Strategic Rocket Forces: Transition to Credible Deterrence Eric Croddy - Chinese Chemical Warfare Capabilities Commentators: Torrey Froscher and Catherine E. Johnston Panel Two ( : - : AM): Scope of WMD Proliferation Evan Medeiros -,-0.06767967
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"The Changing Character of China's WMD Proliferation Activities Shirley Kan - Chinese Proliferation of Missiles and WMD: Issues for US Policy Commentators: Harlan Jencks, Peter Brookes, Janice Hinton Panel Three ( : - : PM): China's Views on WMD Michael Swaine - The Chinese View of Weapons of Mass Destruction Mark Stokes - Weapons of Mass Destruction: PLA Space and Theater Missile Development Ken Allen - Key Indicators of Changes in Chinese Development and Proliferation of Weapons of Mass Destruction Commentators: Lonnie Henley and Vincent Bonner Panel Four ( : - : PM): Wrap-Up: Implications for US Interests and Policies Peter Almquist, Michael McDevitt, and Thomas Fingar Contributors Ken Allen is with the Stimson Center.",-0.11418204
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Janice Hinton is a specialist on Chinese affairs.,0.0025844537
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Papers Bates Gill and James Mulvenon Introduction The doctrine and force structure of China's Strategic Rocket Forces (also known as the Second Artillery from the Chinese di er pao) remain some of the most heavily shrouded and poorly understood aspects of the Chinese military.,-0.5263611
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Yet, as China undergoes a continued modernization of its nuclear forces, to include improved mobility, reliability, accuracy, and firepower, concerned analysts are compelled to understand and analyze the Second Artillery more precisely, including its evolving doctrine, organization, and hardware, and their implications for international security.",0.17344955
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"To date, the most prominent work on China's nuclear posture has either dwelled primarily on hardware and R&D, focused on doctrinal debates, or described the technological development of Chinese nuclear weapons in the form of political-military histories.",-0.034803145
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"In light of China's continuing nuclear weapons modernization program, an updated and more comprehensive framework is needed that fully pulls together theoretical analysis, China's declared nuclear principles, and an empirical assessment of its nuclear force structure.",0.06650831
