Publication Type,Short PubTitle,Publication Title,Year,President ,Party,Intelligence Leader,Role,Full Text
Older Intelligence Products (1999-2015),2001FMDB.pdf,2001: Foreign Missile Developments and the Ballistic Missile Threat to the United States Through 2015,2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001ForeignMissileDevelopments.pdf,2001: Foreign Missile Developments and the Ballistic Missile Threat Through 2015,2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001GlobalHumanitarianEmergenciesV2.pdf,"2001: Global Humanitarian Emergencies: Trends and Projections, 2001-2002",2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001GlobalHumanitarianEmergencies.pdf,"1999: Global Humanitarian Emergencies: Trends and Projections, 1999-2000",2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001Migration.pdf,2001: Global Growing Migration and Its Implications for the US,2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001NICNorthKorea.pdf,"2001: North Korea's Engagement-Perspectives, Outlook, and Implications",2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001NICRussia.pdf,2001: Russia In the International System,2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001NICWorkshopAfrica.pdf,2001: Workshop on Information Technology in Africa,2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2001WaronTerror.pdf,2001: Impact of the War on Terror on Certain Aspects of US Policy in the Middle East,2001,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2002NICAfghanistan.pdf,2002: Afghanistan and Regional Geopolitical Dynamics after 11 September,2002,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2002NICHIVAIDS.pdf,"2002: The Next Wave of HIV/AIDS: Nigeria, Ethiopia, Russia, India, and China",2002,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2002NICMoldova.pdf,2002: Resolving Conflicts In The Causcus and Moldova: Perspectives On Next Step,2002,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2002NICNuclearRussia.pdf,2002: Annual Report to Congress on the Safety and Security of Russian Nuclear Facilities and Military Forces,2002,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2002NIEIraq.pdf,2003: Unclassified Key Judgments - Iraq's Continuing Programs for Weapons of Mass Destruction (from October 2002 NIE),2003,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2003ICASARS.pdf,2003: SARS: Down But Still a Threat,2003,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2003NICStrategicReactions.pdf,2003: Strategic Reactions to American Preeminence: Great Power Politics in the Age of Unipolarity,2003,George W. Bush,Republican,George Tenet,Director of Central Intelligence (DCI),
Global Trends,2004MappingtheFuture.pdf,Global Trends 2020: Mapping the Global Future,2004,George W. Bush,Republican,Porter Goss,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2004NuclearSafety.pdf,2004: Annual Report to Congress on the Safety and Security of Russian Nuclear Facilities and Military Forces,2004,George W. Bush,Republican,Porter Goss,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2005MappingSub-SaharanAfrica.pdf,2005: Mapping Sub-Saharan Africa's Future,2005,George W. Bush,Republican,John Negroponte,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2005MappingtheFuture.pdf,2005: Mapping the Future of the Middle East,2005,George W. Bush,Republican,John Negroponte,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2006ATA.pdf,2006: Annual Threat Assessment of the U.S. Intelligence Community,2006,George W. Bush,Republican,John Negroponte,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2006Declassified.pdf,2006: Declassified Key Judgments - Trends in Global Terrorism: Implications for the United States (from April 2006 NIE),2006,George W. Bush,Republican,John Negroponte,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs) Opening Statements,2006openningstatement.pdf,2006: Annual Threat Assessment of the U.S. Intelligence Community - Opening Remarks from ODNI Director,2006,George W. Bush,Republican,John Negroponte,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2007ATA.pdf,2007: Annual Threat Assessment of the U.S. Intelligence Community,2007,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2007ConferenceReportPutinEra.pdf,2007: The Putin Era In Historical Perspective,2007,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2007NonstateActors.pdf,2007: Nonstate Actors: Impact on International Relations and Implications for the United States,2007,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs) Opening Statements,2007openningstatement.pdf,2007: Annual Threat Assessment of the U.S. Intelligence Community - Opening Remarks from ODNI Director,2007,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2007UpdateIraq.pdf,Prospects for Iraq’s Stability: Some Security Progress but Political Reconciliation Elusive ,2007,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2008ATA.pdf,2008: Annual Threat Assessment of the U.S. Intelligence Community,2008,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2008ConferenceReportDemocratizationinAfrica.pdf,2008 Conference Report Democratization in Africa,2008,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2008ConferenceReportDisruptiveTechnologies.pdf,2008 Conference Report Disruptive Civil Technologies,2008,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2008ConferenceReportSaudiArabia.pdf,"2008 Conference Report Saudi Arabia, Egypt, Jordon Policies on Regional Issues",2008,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Global Trends,2008GlobalTrends.pdf,Global Trends 2025: A Transformed World,2008,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs) Opening Statements,2008openningstatement.pdf,2008: Annual Threat Assessment of the U.S. Intelligence Community - Opening Remarks from ODNI Director,2008,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2008StrategicReportonGlobalHealth.pdf,2008: Strategic Implications of Global Health,2008,George W. Bush,Republican,Mike McConnell,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2009ATA.pdf,2009: Annual Threat Assessment of the U.S. Intelligence Community,2009,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs) Opening Statements,2009openningstatement.pdf,2009: Annual Threat Assessment of the U.S. Intelligence Community - Opening Remarks from ODNI Director,2009,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2009SpecialReportAfrica.pdf,North Africa: The Impact of Climate Change to 2030,2009,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2009SpecialReportChina.pdf,China: The Impact of Climate Change to 2030,2009,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2009SpecialReportIndia.pdf,India: The Impact of Climate Change to 2030,2009,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2009SpecialReportMexico.pdf,"Mexico, The Caribbean, and Central America: The Impact of Climate Change to 2030",2010,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2009SpecialReportRussia.pdf,Russia: The Impact of Climate Change to 2030 Russia Foldout,2010,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2009SpecialreportSoutheastAsia.pdf,Southeast Asia and Pacific Islands: The Impact of Climate Change to 2030,2009,Barack Obama,Democratic,Dennis C. Blair,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2010ATA.pdf,2010: Annual Threat Assessment of the U.S. Intelligence Community,2010,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2011ATA.pdf,2011: Annual Threat Assessment of the U.S. Intelligence Community,2011,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs) Opening Statements,2011openningstatement.pdf,2011: Annual Threat Assessment of the U.S. Intelligence Community - Opening Remarks from ODNI Director,2011,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2012ATA.pdf,2012: Annual Threat Assessment of the U.S. Intelligence Community,2012,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2012FoodSecurityCaseStudies.pdf,2015 Global Food Security: Market Forces and Selected Case Studies,2015,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2012FoodSecurityKeyDrivers.pdf,2015 Global Food Security: Key Drivers - A Conference Report,2015,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2012GlobalFoodSecurity.pdf,2012 Global Food Security: Emerging Technologies to 2040,2012,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Global Trends,2012GlobalTrends.pdf,Global Trends 2030: Alternative Worlds,2012,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2012GlobalWaterSecurity.pdf,2012: Global Water Security: Intelligence Community Assessment,2012,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2013IndianOcean.pdf,2015 The Future of Indian Ocean and South China Sea Fisheries: Implications for the United States,2013,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs) Opening Statements,2012openningstatement.pdf,2012: Annual Threat Assessment of the U.S. Intelligence Community - Opening Remarks from ODNI Director,2012,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2013ATA.pdf,2013: Annual Threat Assessment of the U.S. Intelligence Community,2013,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2013NaturalResources.pdf,"Natural Resources in 2020, 2030 and 2040: Implications for the United States",2013,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2013WidlifePoaching.pdf,"2013: Wildlife Poaching Threatens Economic, Security Priorities in Africa",2013,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2014ATA.pdf,2014: Annual Threat Assessment of the U.S. Intelligence Community,2014,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Older Intelligence Products (1999-2015),2014IdentityTechnologies.pdf,"Identity Technologies: Trends, Drivers, and Challenges - An Industry Discussion",2014,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2015ATA.pdf,2015: Annual Threat Assessment of the U.S. Intelligence Community,2015,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2016ATA.pdf,2016: Annual Threat Assessment of the U.S. Intelligence Community,2016,Barack Obama,Democratic,James R. Clapper,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2017ATA.pdf,2017: Annual Threat Assessment of the U.S. Intelligence Community,2017,Donald Trump,Republican,Dan Coats,Director of National Intelligence (ODNI),
Global Trends,2017GlobalTrends.pdf,Global Trends 2035: Paradox of Progress,2017,Donald Trump,Republican,Tulsa Gabbard,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2018ATA.pdf,2018: Annual Threat Assessment of the U.S. Intelligence Community,2018,Donald Trump,Republican,Dan Coats,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2019ATA.pdf,2019: Annual Threat Assessment of the U.S. Intelligence Community,2019,Donald Trump,Republican,Joseph Maguire (Acting),Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2020NIECyber.pdf,2020: Cyber Operations Enabling Expansive Digital Authoritarianism,2020,Donald Trump,Republican,John Ratcliffe,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2020NIEISIS.pdf,"2020: ISIS Core Rebuilding, Poised to Grow Globally Through 2021",2020,Donald Trump,Republican,John Ratcliffe,Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2021Assessment2021.pdf,2021: Assessing the Saudi Government's Role in the Killing of Jamal Khashoggi,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2021AssessmentExtremism.pdf,2021: Unclassified Summary of Assessment on Domestic Violent Extremism,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2021ATA.pdf,2021: Annual Threat Assessment of the U.S. Intelligence Community,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2021ChineseSpace.pdf,2021: Chinese Space Activities Will Increasingly Challenge U.S. Interests Through 2030,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2021covid19summary.pdf,2021: Unclassified Summary of Assessment on COVID-19 Origins,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2021COVIDOrigins.pdf,2021: Declassified Assessment on COVID-19 Origins,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Intelligence Community Assessments (ICAs),2021foreignthreatstothe2020election.pdf,2021: Foreign Threats to the 2020 U.S. Federal Elections,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Global Trends,2021GlobalTrends.pdf,Global Trends 2040: A More Contested World,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Memoranda (NICMs),2021NICAfrica.pdf,2021: Africa: Economic Growth Challenged by Pandemic and Insecurity,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Memoranda (NICMs),2021NIEAfricaV2.pdf,2021: Africa: Increasing Weight in the Global Arena,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2021NIEClimateChange.pdf,2021: National Intelligence Estimate on Climate Change,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2021PrelimAssessmentUAP.pdf,2021: Preliminary Assessment: Unidentified Aerial Phenomena,2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Sense of the Community Memoranda (SOCMs),2021SOCMAfghanistan.pdf,"2021: Afghanistan: Women’s Economic, Political, Social Status Driven by Cultural Norms",2021,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2022ATA.pdf,2022: Annual Threat Assessment of the U.S. Intelligence Community,2022,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2022EconCovid.pdf,2022: Economic and National Security Implications of the COVID-19 Pandemic Through 2026,2022,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Intelligence Community Assessments (ICAs),2022foreignthreatstothe2022election.pdf,2022: Foreign Threats to the 2022 US Elections,2022,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2022Iran.pdf,2024: Iran's Hardline Regime in Transition Presents Diversified Challenges for the United States,2022,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2022NIEAfghanistan.pdf,2022: Afghanistan Implications of Taliban Rule 2022,2022,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Assessments (NICAs),2022Sub-SaharanAfrica.pdf,2024: Sub-Saharan Africa: Progressive Democracy Protesters Joining Global Campaigns,2022,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2023ATA.pdf,2023: Annual Threat Assessment of the U.S. Intelligence Community,2023,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Council Memoranda (NICMs),2023NIENonState.pdf,2024: Non-State Actors Playing Greater Roles in Governance and International Affairs,2024,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2023NIENorthKorea.pdf,2023: North Korea: Scenarios for Leveraging Nuclear Weapons Through 2030,2023,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2024ATA.pdf,2024: Annual Threat Assessment of the U.S. Intelligence Community,2024,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Intelligence Community Assessments (ICAs),2024GlobalHealthAssessments.pdf,"Updated Assessment of Anomalous Health Incidents, as of December 2024",2024,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2024GrayZone.pdf,2024: Conflict in the Gray Zone: A Prevailing Geopolitical Dynamic Through 2030,2024,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
National Intelligence Estimates (NIEs),2023Dynamics.pdf,2024: Dynamics Shaping Global Health Security In the Next Decade,2023,Joseph Biden,Democratic,Avril Haines,Director of National Intelligence (ODNI),
Annual Threat Assessments (ATAs),2025ATA.pdf,2025: Annual Threat Assessment of the U.S. Intelligence Community,2025,Donald Trump,Republican,Tulsa Gabbard,Director of National Intelligence (ODNI),
