president,year,party,sentence,sentiment
Franklin Pierce,1853,Democratic,"The commissioner to that country who has been recently appointed is instructed to avail himself of all occasions to open and extend our commercial relations, not only with the Empire of China, but with other Asiatic nations.",-0.025
James Buchanan,1857,Democratic,"Recent occurrences in China have been unfavorable to a revision of the treaty with that Empire of the 3d July, 1844, with a view to the security and extension of our commerce.",0.0
James Buchanan,1857,Democratic,"Another effort was about to be made for the same purpose by our commissioner in conjunction with the ministers of England and France, but this was suspended by the occurrence of hostilities in the Canton River between Great Britain and the Chinese Empire.",0.26666666666666666
James Buchanan,1857,Democratic,Under these circumstances I have deemed it advisable to appoint a distinguished citizen of Pennsylvania envoy extraordinary and minister plenipotentiary to proceed to China and to avail himself of any opportunities which may offer to effect changes in the existing treaty favorable to American commerce.,0.16666666666666666
James Buchanan,1857,Democratic,Special ministers to China have also been appointed by the Governments of Great Britain and France.,0.5785714285714286
James Buchanan,1857,Democratic,"Whilst our minister has been instructed to occupy a neutral position in reference to the existing hostilities at Canton, he will cordially cooperate with the British and French ministers in all peaceful measures to secure by treaty stipulations those just concessions to commerce which the nations of the world have a right to expect and which China can not long be permitted to withhold.",0.16011904761904763
James Buchanan,1857,Democratic,At the present moment we have no armed vessel in the Navy which can penetrate the rivers of China.,0.0
James Buchanan,1858,Democratic,I have occasion also to congratulate you on the result of our negotiations with China.,0.0
James Buchanan,1858,Democratic,"Besides, after a careful examination of the nature and extent of our grievances, I did not believe they were of such a pressing and aggravated character as would have justified Congress in declaring war against the Chinese Empire without first making another earnest attempt to adjust them by peaceful negotiation.",0.13333333333333333
James Buchanan,1858,Democratic,I was the more inclined to this opinion because of the severe chastisement which had then but recently been inflicted upon the Chinese by our squadron in the capture and destruction of the Barrier forts to avenge an alleged insult to our flag.,0.1
James Buchanan,1858,Democratic,"In conjunction with the Russian plenipotentiary, he has peacefully, but effectually, cooperated with the English and French plenipotentiaries, and each of the four powers has concluded a separate treaty with China of a highly satisfactory character.",0.082
James Buchanan,1858,Democratic,Our recent treaties with China and Japan will open these rich and populous Empires to our commerce; and the history of the world proves that the nation which has gained possession of the trade with eastern Asia has always become wealthy and powerful.,0.24583333333333335
James Buchanan,1859,Democratic,The wisdom of the course pursued by this Government toward China has been vindicated by the event.,0.0
James Buchanan,1859,Democratic,"Whilst we sustained a neutral position in the war waged by Great Britain and France against the Chinese Empire, our late minister, in obedience to his instructions, judiciously cooperated with the ministers of these powers in all peaceful measures to secure by treaty the just concessions demanded by the interests of foreign commerce.",0.1708333333333333
James Buchanan,1859,Democratic,"The result is that satisfactory treaties have been concluded with China by the respective ministers of the United States, Great Britain, France, and Russia.",0.4
James Buchanan,1859,Democratic,"On the 15th December, 1858, John E. Ward, a distinguished citizen of Georgia, was duly commissioned as envoy extraordinary and minister plenipotentiary to China.",0.3333333333333333
James Buchanan,1859,Democratic,"This was rendered impossible by reasons and events beyond his control, not necessary to detail; but still it is due to the Chinese authorities at Shanghai to state that they always assured him no advantage should be taken of the delay, and this pledge has been faithfully redeemed.",-0.19791666666666666
James Buchanan,1859,Democratic,It is but simple justice to the Chinese authorities to observe that throughout the whole transaction they appear to have acted in good faith and in a friendly spirit toward the United States.,0.255
James Buchanan,1859,Democratic,"In order to carry out the spirit of this treaty and to give it full effect it became necessary to conclude two supplemental conventions, the one for the adjustment and satisfaction of the claims of our citizens and the other to fix the tariff on imports and exports and to regulate the transit duties and trade of our merchants with China.",0.075
James Buchanan,1859,Democratic,"This was not deemed necessary by the Chinese, who are already proceeding in good faith to satisfy the claims of our citizens and, it is hoped, to carry out the other provisions of the conventions.",0.14375
James Buchanan,1859,Democratic,"No doubt is entertained that they will be ratified and exchanged by the Chinese Government should this be thought advisable; but under the circumstances presented I shall consider them binding engagements from their date on both parties, and cause them to be published as such for the information and guidance of our merchants trading with the Chinese Empire.",0.0
James Buchanan,1860,Democratic,The friendly and peaceful policy pursued by the Government of the United States toward the Empire of China has produced the most satisfactory results.,0.375
James Buchanan,1860,Democratic,"The treaty of Tien-tsin of the 18th June, 1858, has been faithfully observed by the Chinese authorities.",0.0
James Buchanan,1860,Democratic,"The convention of the 8th November, 1858, supplementary to this treaty, for the adjustment and satisfaction of the claims of our citizens on China referred to in my last annual message, has been already carried into effect so far as this was practicable.",0.05
James Buchanan,1860,Democratic,"Debentures for this amount, to wit, 300,000 taels for Canton, 100,000 for Shanghai, and 100,000 for Fuchau, were delivered, according to the terms of the convention, by the respective Chinese collectors of the customs of these ports to the agent selected by our minister to receive the same.",0.0
James Buchanan,1860,Democratic,"As this will, in equity, belong to the Chinese Government, would not justice require its appropriation to some benevolent object in which the Chinese may be specially interested?",0.08333333333333333
James Buchanan,1860,Democratic,"Our minister to China, in obedience to his instructions, has remained perfectly neutral in the war between Great Britain and France and the Chinese Empire, although, in conjunction with the Russian minister, he was ever ready and willing, had the opportunity offered, to employ his good offices in restoring peace between the parties.",0.42142857142857143
Abraham Lincoln,1861,Republican,"I repeat the recommendation of my predecessor in his annual message to Congress in December last in regard to the disposition of the surplus which will probably remain after satisfying the claims of American citizens against China, pursuant to the awards of the commissioners under the act of the 3d of March, 1859.",0.16666666666666666
Abraham Lincoln,1861,Republican,"If, however, it should not be deemed advisable to carry that recommendation into effect, I would suggest that authority be given for investing the principal, over the proceeds of the surplus referred to, in good securities, with a view to the satisfaction of such other just claims of our citizens against China as are not unlikely to arise hereafter in the course of our extensive trade with that Empire.",0.16499999999999998
Abraham Lincoln,1862,Republican,"Very favorable relations also continue to be maintained with Turkey, Morocco, China, and Japan.",0.2
Abraham Lincoln,1863,Republican,"This acknowledgment justly includes those consuls who, residing in Morocco, Egypt, Turkey, Japan, China, and other Oriental countries, are charged with complex functions and extraordinary powers.",-0.030555555555555558
Abraham Lincoln,1864,Republican,"The rebellion which has so long been flagrant in China has at last been suppressed, with the cooperating good offices of this Government and of the other Western commercial States.",0.08749999999999998
Abraham Lincoln,1864,Republican,China seems to be accepting with hearty good will the conventional laws which regulate commercial and social intercourse among the Western nations.,0.1180952380952381
Andrew Johnson,1865,Republican,"Our relations with the Emperor of China, so recent in their origin, are most friendly.",0.2916666666666667
Andrew Johnson,1867,Republican,"During the past year new postal conventions have been ratified and exchanged with the United Kingdom of Great Britain and Ireland, Belgium, the Netherlands, Switzerland, the North German Union, Italy, and the colonial government at Hong Kong, reducing very largely the rates of ocean and land postages to and from and within those countries.",0.19298701298701298
Andrew Johnson,1868,Republican,We are not advised of the action of the Chinese Government upon the liberal and auspicious treaty which was recently celebrated with its plenipotentiaries at this capital.,0.15
Ulysses S. Grant,1869,Republican,"Our neighbors south of us and China and Japan, should receive our special attention.",0.35714285714285715
Ulysses S. Grant,1869,Republican,"Through the agency of a more enlightened policy than that heretofore pursued toward China, largely due to the sagacity and efforts of one of our own distinguished citizens, the world is about to commence largely increased relations with that populous and hitherto exclusive nation.",0.29732142857142857
Ulysses S. Grant,1869,Republican,"In this connection I advise such legislation as will forever preclude the enslavement of the Chinese upon our soil under the name of coolies, and also prevent American vessels from engaging in the transportation of coolies to any country tolerating the system.",0.1
Ulysses S. Grant,1869,Republican,I also recommend that the mission to China be raised to one of the first class.,0.25
Ulysses S. Grant,1870,Republican,"The massacres of French and Russian residents at Tien-Tsin, under circumstances of great barbarity, was supposed by some to have been premeditated, and to indicate a purpose among the populace to exterminate foreigners in the Chinese Empire.",0.2
Ulysses S. Grant,1870,Republican,"Unfortunately, the news of the war between the German States and France reached China soon after the massacre.",-0.25
Ulysses S. Grant,1870,Republican,"It would appear that the popular mind became possessed with the idea that this contest, extending to Chinese waters, would neutralize the Christian influence and power, and that the time was coming when the superstitious masses might expel all foreigners and restore mandarin influence.",0.19999999999999998
Ulysses S. Grant,1870,Republican,"Anticipating trouble from this cause, I invited France and North Germany to make an authorized suspension of hostilities in the East (where they were temporarily suspended by act of the commanders), and to act together for the future protection in China of the lives and properties of Americans and Europeans.",-0.1
Ulysses S. Grant,1870,Republican,"Our depressed commerce is a subject to which I called your special attention at the last session, and suggested that we will in the future have to look more to the countries south of us, and to China and Japan, for its revival.",0.1380952380952381
Ulysses S. Grant,1870,Republican,"But the fact exists that the carrying is done almost entirely in foreign bottoms, and while this state of affairs exists we can not control our due share of the commerce of the world; that between the Pacific States and China and Japan is about all the carrying trade now conducted in American vessels.",-0.08333333333333333
Ulysses S. Grant,1871,Republican,It is our desire to continue to maintain this disinterested and just policy with China as well as Japan.,0.0
Ulysses S. Grant,1871,Republican,"To give importance to and to add to the efficiency of our diplomatic relations with Japan and China, and to further aid in retaining the good opinion of those peoples, and to secure to the United States its share of the commerce destined to flow between those nations and the balance of the commercial world, I earnestly recommend that an appropriation be made to support at least four American youths in each of those countries, to serve as a part of the official family of our ministers there.",0.13333333333333333
Ulysses S. Grant,1871,Republican,"As now situated, our representatives in Japan and China have to depend for interpreters and translators upon natives of those countries who know our language imperfectly, or procure for the occasion the services of employees in foreign business houses or the interpreters to other foreign ministers.",-0.125
Ulysses S. Grant,1871,Republican,"I would also recommend liberal measures for the purpose of supporting the American lines of steamers now plying between San Francisco and Japan and China, and the Australian line--almost our only remaining lines of ocean steamers--and of increasing their services.",0.0625
Ulysses S. Grant,1872,Republican,"In this connection I renew my recommendation of one year ago, that-- To give importance to and to add to the efficiency of our diplomatic relations with Japan and China, and to further aid in retaining the good opinion of those peoples, and to secure to the United States its share of the commerce destined to flow between those nations and the balance of the commercial world, an appropriation be made to support at least four American youths in each of those countries, to serve as a part of the official family of our ministers there.",0.13333333333333333
Ulysses S. Grant,1872,Republican,"As now situated, our representatives in Japan and China have to depend for interpreters and translators upon natives of those countries, who know our language imperfectly, or procure for the occasion the services of employees in foreign business houses or the interpreters to other foreign ministers.",-0.125
Ulysses S. Grant,1872,Republican,"The following are the only steamship lines now receiving subsidies for mail service under special acts of Congress: The Pacific Mail Steamship Company receive $500,000 per annum for conveying a monthly mail between San Francisco, Japan, and China, which will be increased to $1,000,000 per annum for a semimonthly mail on and after October 1, 1873; the United States and Brazil Mail Steamship Company receive $150,000 per annum for conveying a monthly mail between New York and Rio de Janeiro, Brazil; and the California, Oregon and Mexican Steamship Company receive $75,000 per annum for conveying a monthly mail between San Francisco and Honolulu (Hawaiian Islands), making the total amount of mail steamship subsidies at present $725,000 per annum.",0.07050092764378478
Ulysses S. Grant,1872,Republican,"There are but three lines of ocean steamers--namely, the Pacific Mail Steamship Company, between San Francisco, China, and Japan, with provision made for semimonthly service after October 1, 1873; the United States and Brazil line, monthly; and the California, New Zealand, and Australian line, monthly--plying between the United States and foreign ports, and owned and operated under our flag.",0.0037878787878787845
Ulysses S. Grant,1873,Republican,"It is my pleasant duty to announce to Congress that the Emperor of China, on attaining his majority, received the diplomatic representatives of the Western powers in person.",0.36666666666666664
Ulysses S. Grant,1873,Republican,"The accompanying papers show that some advance, although slight, has been made during the past year toward the suppression of the infamous Chinese cooly trade.",-0.22916666666666666
Ulysses S. Grant,1874,Republican,Our relations with China continue to be friendly.,0.375
Ulysses S. Grant,1874,Republican,"During the past year the fear of hostilities between China and Japan, growing out of the landing of an armed force upon the island of Formosa by the latter, has occasioned uneasiness.",-0.125
Ulysses S. Grant,1874,Republican,"In consequence of the part taken by certain citizens of the United States in this expedition, our representatives in those countries have been instructed to impress upon the Governments of China and Japan the firm intention of this country to maintain strict neutrality in the event of hostilities, and to carefully prevent any infraction of law on the part of our citizens.",-0.02857142857142858
Ulysses S. Grant,1874,Republican,"In connection with this subject I call the attention of Congress to a generally conceded fact--that the great proportion of the Chinese immigrants who come to our shores do not come voluntarily, to make their homes with us and their labor productive of general prosperity, but come under contracts with headmen, who own them almost absolutely.",0.21904761904761907
Ulysses S. Grant,1874,Republican,In a worse form does this apply to Chinese women.,-0.2
Ulysses S. Grant,1875,Republican,"While this is being done I invite the attention of Congress to another, though perhaps no less an evil--the importation of Chinese women, but few of whom are brought to our shores to pursue honorable or useful occupations.",0.04583333333333332
Rutherford B. Hayes,1878,Republican,After an interval of several years the Chinese Government has again sent envoys to the United States.,0.0
Rutherford B. Hayes,1879,Republican,"The attention of Congress is again invited to the subject of the indemnity funds received some years since from Japan and China, which, with their accumulated interest, now amount to considerable sums.",-0.033333333333333326
Rutherford B. Hayes,1879,Republican,The Government of China has signified its willingness to consider the question of the emigration of its subjects to the United States with a dispassionate fairness and to cooperate in such measures as may tend to prevent injurious consequences to the United States.,0.0
Rutherford B. Hayes,1879,Republican,"A question having arisen between China and Japan about the Lew Chew Islands, the United States Government has taken measures to inform those powers of its readiness to extend its good offices for the maintenance of peace if they shall mutually deem it desirable and find it practicable to avail themselves of the proffer.",0.7
Rutherford B. Hayes,1880,Republican,The provision made by Congress at its last session for the expense of the commission which had been appointed to enter upon negotiations with the Imperial Government of China on subjects of great interest to the relations of the two countries enabled the commissioners to proceed at once upon their mission.,0.4
Rutherford B. Hayes,1880,Republican,"The Imperial Government was prepared to give prompt and respectful attention to the matters brought under negotiation, and the conferences proceeded with such rapidity and success that on the 17th of November last two treaties were signed at Peking, one relating to the introduction of Chinese into this country and one relating to commerce.",0.16
Rutherford B. Hayes,1880,Republican,In my last annual message I invited the attention of Congress to the subject of the indemnity funds received some years ago from China and Japan.,-0.08333333333333333
Rutherford B. Hayes,1880,Republican,"The full appreciation of the opportunities which our front on the Pacific Ocean gives to commerce with Japan, China, and the East Indies, with Australia and the island groups which lie along these routes of navigation, should inspire equal efforts to appropriate to our own shipping and to administer by our own capital a due proportion of this trade.",0.3208333333333333
Chester A. Arthur,1881,Republican,I am glad to inform you that the treaties lately negotiated with China have been duly ratified on both sides and the exchange made at Peking.,0.1
Chester A. Arthur,1881,Republican,"The prompt and friendly spirit with which the Chinese Government, at the request of the United States, conceded the modification of existing treaties should secure careful regard for the interests and susceptibilities of that Government in the enactment of any laws relating to Chinese immigration.",0.135
Chester A. Arthur,1881,Republican,They will attest the sincere interest which our people and Government feel in the commendable efforts of the Chinese Government to put a stop to this demoralizing and destructive traffic.,-0.033333333333333326
Chester A. Arthur,1881,Republican,In relation both to China and Japan some changes are desirable in our present system of consular jurisdiction.,0.0
Chester A. Arthur,1881,Republican,"I renew the recommendation which has been heretofore urged by the Executive upon the attention of Congress, that after the deduction of such amount as may be found due to American citizens the balance of the indemnity funds heretofore obtained from China and Japan, and which are now in the hands of the State Department, be returned to the Governments of those countries.",-0.041666666666666664
Chester A. Arthur,1882,Republican,"In the interest of justice toward China and Japan, I trust that the question of the return of the indemnity fund to the Governments of those countries will reach at the present session the satisfactory solution which I have already recommended, and which has recently been foreshadowed by Congressional discussion.",0.0
Chester A. Arthur,1882,Republican,The recent legislation restricting immigration of laborers from China has given rise to the question whether Chinese proceeding to or from another country may lawfully pass through our own.,0.15
Chester A. Arthur,1882,Republican,"Construing the act of May 6, 1882, in connection with the treaty of November 7, 1880, the restriction would seem to be limited to Chinese immigrants coming to the United States as laborers, and would not forbid a mere transit across our territory.",-0.19047619047619047
Chester A. Arthur,1882,Republican,"New ministers from the Argentine Republic, Austria-Hungary, Brazil, Chile, China, France, Japan, Mexico, the Netherlands, and Russia have presented their credentials.",0.13636363636363635
Chester A. Arthur,1883,Republican,"China, by the payment of a money indemnity, has settled certain of the long-pending claims of our citizens, and I have strong hopes that the remainder will soon be adjusted.",0.32380952380952377
Chester A. Arthur,1883,Republican,Questions have arisen teaching the rights of American and other foreign manufacturers in China under the provisions of treaties which permit aliens to exercise their industries in that country.,-0.08333333333333333
Chester A. Arthur,1883,Republican,"While it is the duty of the Government to see that our citizens have the full enjoyment of every benefit secured by treaty, I doubt the expediency of leading in a movement to constrain China to admit an interpretation which we have only an indirect treaty right to exact.",0.22142857142857142
Chester A. Arthur,1883,Republican,The transference to China of American capital for the employment there of Chinese labor would in effect inaugurate a competition for the control of markets now supplied by our home industries.,0.0
Chester A. Arthur,1883,Republican,"There is good reason to believe that the law restricting the immigration of Chinese has been violated, intentionally or otherwise, by the officials of China upon whom is devolved the duty of certifying that the immigrants belong to the excepted classes.",0.35
Chester A. Arthur,1883,Republican,"Measures have been taken to ascertain the facts incident to this supposed infraction, and it is believed that the Government of China will cooperate with the United States in securing the faithful observance of the law.",0.0
Chester A. Arthur,1884,Republican,The state of hostilities between France and China continues to be an embarrassing feature of our Eastern relations.,0.0
Chester A. Arthur,1884,Republican,The Chinese Government has promptly adjusted and paid the claims of American citizens whose property was destroyed in the recent riots at Canton.,0.0
Chester A. Arthur,1884,Republican,"I renew the recommendation of my last annual message, that the Canton indemnity fund be returned to China.",0.0
Chester A. Arthur,1884,Republican,The true interpretation of the recent treaty with that country permitting the restriction of Chinese immigration is likely to be again the subject of your deliberations.,0.03666666666666667
Chester A. Arthur,1884,Republican,"It may be seriously questioned whether the statute passed at the last session does not violate the treaty rights of certain Chinese who left this country with return certificates valid under the old law, and who now seem to be debarred from relanding for lack of the certificates required by the new.",0.01675943104514533
Chester A. Arthur,1884,Republican,The recent purchase by citizens of the United States of a large trading fleet heretofore under the Chinese flag has considerably enhanced our commercial importance in the East.,0.06285714285714286
Chester A. Arthur,1884,Republican,"The Government of Japan stands ready to present to us extensive grounds at Tokyo whereon to erect a suitable building for the legation, court-house, and jail, and similar privileges can probably be secured in China and Persia.",0.10833333333333334
Grover Cleveland,1885,Democratic,The harmony of our relations with China is fully sustained.,0.0
Grover Cleveland,1885,Democratic,"In the application of the acts lately passed to execute the treaty of 1880, restrictive of the immigration of Chinese laborers into the United States, individual cases of hardship have occurred beyond the power of the Executive to remedy, and calling for judicial determination.",-0.09999999999999999
Grover Cleveland,1885,Democratic,"The condition of the Chinese question in the Western States and Territories is, despite this restrictive legislation, far from being satisfactory.",0.03333333333333333
Grover Cleveland,1885,Democratic,"All the power of this Government should be exerted to maintain the amplest good faith toward China in the treatment of these men, and the inflexible sternness of the law in bringing the wrongdoers to justice should be insisted upon.",0.14999999999999997
Grover Cleveland,1885,Democratic,Every effort has been made by this Government to prevent these violent outbreaks and to aid the representatives of China in their investigation of these outrages; and it is but just to say that they are traceable to the lawlessness of men not citizens of the United States engaged in competition with Chinese laborers.,-0.4
Grover Cleveland,1885,Democratic,"Race prejudice is the chief factor in originating these disturbances, and it exists in a large part of our domain, jeopardizing our domestic peace and the good relationship we strive to maintain with China.",0.30476190476190473
Grover Cleveland,1885,Democratic,"That the exclusion of Chinese labor is demanded in other countries where like conditions prevail is strongly evidenced in the Dominion of Canada, where Chinese immigration is now regulated by laws more exclusive than our own.",0.2347222222222222
Grover Cleveland,1885,Democratic,"I regard with favor the application made by the Korean Government to be allowed to employ American officers as military instructors, to which the assent of Congress becomes necessary, and I am happy to say this request has the concurrent sanction of China and Japan.",0.17500000000000002
Grover Cleveland,1885,Democratic,In China the premises rented for the legation are favored as to local charges.,0.4
Grover Cleveland,1885,Democratic,"I approve the suggestion heretofore made, that, view of the conditions of life and administration in the Eastern countries, the legation buildings in China, Japan, Korea, Siam, and perhaps Persia, should be owned and furnished by the Government with a view to permanency and security.",0.0
Grover Cleveland,1885,Democratic,"Troops were also sent to Rock Springs, in Wyoming Territory, after the massacre of Chinese there, to prevent further disturbance, and afterwards to Seattle, in Washington Territory, to avert a threatened attack upon Chinese laborers and domestic violence there.",0.0
Grover Cleveland,1886,Democratic,"The cruel treatment of inoffensive Chinese has, I regret to say, been repeated in some of the far Western States and Territories, and acts of violence against those people, beyond the power of the local constituted authorities to prevent and difficult to punish, are reported even in distant Alaska.",-0.21428571428571427
Grover Cleveland,1886,Democratic,"Much of this violence can be traced to race prejudice and competition of labor, which can not, however, justify the oppression of strangers whose safety is guaranteed by our treaty with China equally with the most favored nations.",0.375
Grover Cleveland,1886,Democratic,"I am not without assurance that the Government of China, whose friendly disposition toward us I am most happy to recognize, will meet us halfway in devising a comprehensive remedy by which an effective limitation of Chinese emigration, joined to protection of those Chinese subjects who remain in this country, may be secured.",0.37916666666666665
Grover Cleveland,1886,Democratic,Legislation is needed to execute the provisions of our Chinese convention of 1880 touching the opium traffic.,0.25
Grover Cleveland,1888,Democratic,"In a message accompanying my approval, on the 1st day of October last, of a bill for the exclusion of Chinese laborers, I laid before Congress full information and all correspondence touching the negotiation of the treaty with China concluded at this capital on the 12th day of March, 1888, and which, having been confirmed by the Senate with certain amendments, was rejected by the Chinese Government.",0.20918367346938774
Grover Cleveland,1888,Democratic,This message contained a recommendation that a sum of money be appropriated as compensation to Chinese subjects who had suffered injuries at the hands of lawless men within our jurisdiction.,0.0
Grover Cleveland,1888,Democratic,"Such appropriation having been duly made, the fund awaits reception by the Chinese Government.",0.0
Grover Cleveland,1888,Democratic,"It is sincerely hoped that by the cessation of the influx of this class of Chinese subjects, in accordance with the expressed wish of both Governments, a cause of unkind feeling has been permanently removed.",0.25
Benjamin Harrison,1889,Republican,Our relations with China have the attentive consideration which their magnitude and interest demand.,0.4
Benjamin Harrison,1889,Republican,"The failure of the treaty negotiated under the Administration of my predecessor for the further and more complete restriction of Chinese labor immigration, and with it the legislation of the last session of Congress dependent thereon, leaves some questions open which Congress should now approach in that wise and just spirit which should characterize the relations of two great and friendly powers.",0.21583333333333332
Benjamin Harrison,1889,Republican,"The accession of the young Emperor of China marks, we may hope, an era of progress and prosperity for the great country over which he is called to rule.",0.45
Benjamin Harrison,1889,Republican,The enforcement of the Chinese exclusion act has been found to be very difficult on the northwestern frontier.,-0.325
Benjamin Harrison,1889,Republican,"I recommend that such appropriations be made for ocean mail service in American steamships between our ports and those of Central and South America, China, Japan, and the important islands in both of the great oceans as will be liberally remunerative for the service rendered and as will encourage the establishment and in some fair degree equalize the chances of American steamship lines in the competitions which they must meet.",0.27142857142857146
Benjamin Harrison,1890,Republican,"Our relations with China, which have for several years occupied so important a place in our diplomatic history, have called for careful consideration and have been the subject of much correspondence.",0.06666666666666668
Benjamin Harrison,1890,Republican,"The communications of the Chinese minister have brought into view the whole subject of our conventional relations with his country, and at the same time this Government, through its legation at Peking, has sought to arrange various matters and complaints touching the interests and protection of our citizens in China.",0.05578231292517007
Benjamin Harrison,1890,Republican,"In pursuance of the concurrent resolution of October 1, 1890, I have proposed to the Governments of Mexico and Great Britain to consider a conventional regulation of the passage of Chinese laborers across our southern and northern frontiers.",0.1642857142857143
Benjamin Harrison,1891,Republican,The late outbreak against foreigners in various parts of the Chinese Empire has been a cause of deep concern in view of the numerous establishments of our citizens in the interior of that country.,-0.06
Benjamin Harrison,1891,Republican,This Government can do no less than insist upon a continuance of the protective and punitory measures which the Chinese Government has heretofore applied.,0.041666666666666664
