president,year,party,china_sentiment,china_mention_count
Ronald Reagan,1981,Republican,0.09166666666666667,1
Ronald Reagan,1985,Republican,0.0,1
Ronald Reagan,1988,Republican,0.18333333333333335,1
Rutherford B. Hayes,1878,Republican,0.0,1
Rutherford B. Hayes,1879,Republican,0.2222222222222222,3
Rutherford B. Hayes,1880,Republican,0.19937500000000002,4
Theodore Roosevelt,1901,Republican,0.1007225866537091,20
Theodore Roosevelt,1902,Republican,0.019583333333333328,3
Theodore Roosevelt,1903,Republican,0.06525252525252524,6
Theodore Roosevelt,1904,Republican,0.23347985347985348,6
Theodore Roosevelt,1905,Republican,0.06821825396825397,32
Theodore Roosevelt,1907,Republican,0.09280753968253967,9
Theodore Roosevelt,1908,Republican,0.03402401302401303,16
Ulysses S. Grant,1869,Republican,0.2511160714285714,4
Ulysses S. Grant,1870,Republican,0.01746031746031746,6
Ulysses S. Grant,1871,Republican,0.017708333333333333,4
Ulysses S. Grant,1872,Republican,0.020655534941249224,4
Ulysses S. Grant,1873,Republican,0.06874999999999999,2
Ulysses S. Grant,1874,Republican,0.048095238095238094,5
Ulysses S. Grant,1875,Republican,0.04583333333333332,1
William Howard Taft,1909,Republican,0.026488095238095245,12
William Howard Taft,1910,Republican,0.056725175865800864,22
William Howard Taft,1911,Republican,0.11781690531690533,20
William Howard Taft,1912,Republican,0.07421392496392495,17
William J. Clinton,1994,Democratic,0.19999999999999998,1
William J. Clinton,1997,Democratic,0.07329545454545454,7
William J. Clinton,1998,Democratic,0.11818181818181818,1
William J. Clinton,1999,Democratic,0.20071022727272728,5
William J. Clinton,2000,Democratic,0.02667233560090703,9
William McKinley,1898,Republican,0.05101440226440226,8
William McKinley,1899,Republican,0.07564102564102564,6
William McKinley,1900,Republican,0.0347915717323612,47
